"Country or Area","Year","Unit","Value","Value Footnotes"
"Japan","2003","Mil. USD","323.978932829984",""
"Japan","2002","Mil. USD","306.552414301304",""
"Japan","2001","Mil. USD","381.020332624867",""
"Japan","2000","Mil. USD","526.782698340112",""
"Japan","1999","Mil. USD","626.91601261224",""
"Japan","1998","Mil. USD","657.154443417469",""
"Japan","1997","Mil. USD","857.651543727114",""
"Kazakhstan","2016","Metric tons","10",""
"Kazakhstan","2013","Metric tons","37",""
"Kazakhstan","2012","Metric tons","56",""
"Kazakhstan","2011","Metric tons","54",""
"Kazakhstan","2010","Metric tons","70",""
"Kazakhstan","2009","Metric tons","134",""
"Kazakhstan","2008","Metric tons","79",""
"Kazakhstan","2007","Metric tons","148",""
"Kazakhstan","2006","Metric tons","195",""
"Kazakhstan","2005","Metric tons","350",""
"Kazakhstan","2004","Metric tons","269",""
"Kazakhstan","2003","Metric tons","367",""
"Kazakhstan","2002","Metric tons","389",""
"Kazakhstan","2001","Metric tons","510",""
"Kazakhstan","2000","Metric tons","319",""
"Kazakhstan","1999","Metric tons","1428",""
"Kazakhstan","1998","Metric tons","455",""
"Kyrgyzstan","2016","Metric tons","412.3",""
"Kyrgyzstan","2015","Metric tons","503.3",""
"Kyrgyzstan","2014","Metric tons","479.6",""
"Kyrgyzstan","2013","Metric tons","538.9",""
"Kyrgyzstan","2012","Metric tons","468.1",""
"Kyrgyzstan","2011","Metric tons","386.4",""
"Kyrgyzstan","2010","Metric tons","412.2",""
"Kyrgyzstan","2009","Metric tons","272.9",""
"Kyrgyzstan","2008","Metric tons","414.9",""
"Kyrgyzstan","2007","Metric tons","766.1",""
"Kyrgyzstan","2006","Metric tons","801.8",""
"Kyrgyzstan","2005","Metric tons","347",""
"Kyrgyzstan","2004","Metric tons","171.2",""
"Kyrgyzstan","2003","Metric tons","138.9",""
"Kyrgyzstan","2002","Metric tons","182.1",""
"Kyrgyzstan","2001","Metric tons","322.2",""
"Kyrgyzstan","2000","Metric tons","448.5",""
"Kyrgyzstan","1999","Metric tons","543.7",""
"Kyrgyzstan","1998","Metric tons","1256.4",""
"Kyrgyzstan","1997","Metric tons","2127.9",""
"Latvia","2015","Metric tons","53.558",""
"Latvia","2015","Mil. USD","0.582372074287662",""
"Latvia","2000","Metric tons","267.2",""
"Latvia","1999","Metric tons","241.9",""
"Lithuania","2016","Metric tons","10666.384","3"
"Lithuania","2016","Mil. USD","39.1577704268147","3"
"Lithuania","2015","Metric tons","9081.612",""
"Lithuania","2015","Mil. USD","35.030532110893",""
"Lithuania","2014","Metric tons","8339.224",""
"Lithuania","2014","Mil. USD","37.4615384615385",""
"Lithuania","2013","Metric tons","6992.936",""
"Lithuania","2013","Mil. USD","32.7180804922089",""
"Lithuania","2012","Metric tons","6640.694",""
"Lithuania","2012","Mil. USD","29.8552834600915",""
"Lithuania","2011","Metric tons","7513.983",""
"Lithuania","2011","Mil. USD","33.101808581877",""
"Lithuania","2010","Metric tons","7114.776",""
"Lithuania","2010","Mil. USD","25.9560429722471",""
"Lithuania","2009","Metric tons","6026.954",""
"Lithuania","2009","Mil. USD","23.1162759490614",""
"Lithuania","2008","Metric tons","4105.8",""
"Lithuania","2008","Mil. USD","22.6551976496293",""
"Lithuania","2007","Metric tons","6090.3",""
"Lithuania","2007","Mil. USD","25.6367076444541",""
"Lithuania","2006","Metric tons","4871.7",""
"Lithuania","2006","Mil. USD","10.6095976891424",""
"Lithuania","2005","Metric tons","4190.3",""
"Lithuania","2005","Mil. USD","13.950847595101",""
"Lithuania","2004","Metric tons","4548.7",""
"Lithuania","2004","Mil. USD","20.2115257244411",""
"Lithuania","2003","Metric tons","2627.5",""
"Lithuania","2003","Mil. USD","17.5767211900769",""
"Lithuania","2002","Metric tons","2664.8",""
"Lithuania","2002","Mil. USD","15.9642820719118",""
"Lithuania","2001","Metric tons","1783.8",""
"Lithuania","2001","Mil. USD","11.8",""
"Lithuania","2000","Metric tons","1012.5",""
"Lithuania","2000","Mil. USD","7.375",""
"Lithuania","1999","Metric tons","1333.6",""
"Lithuania","1999","Mil. USD","10.35",""
"Lithuania","1998","Metric tons","973",""
"Lithuania","1998","Mil. USD","7.775",""
"Lithuania","1997","Metric tons","235.7",""
"Lithuania","1997","Mil. USD","1.325",""
"Luxembourg","2016","Metric tons","0","3"
"Luxembourg","2016","Mil. USD","0","3"
"Malta","2016","Metric tons","0","3"
"Malta","2016","Mil. USD","0","3"
"Mexico","2016","Metric tons","0",""
"Mexico","2016","Mil. USD","0",""
"Mexico","2015","Metric tons","0",""
"Mexico","2015","Mil. USD","0",""
"Mexico","2014","Metric tons","0",""
"Mexico","2014","Mil. USD","0",""
"Mexico","2013","Metric tons","0",""
"Mexico","2013","Mil. USD","0",""
"Mexico","2012","Metric tons","0",""
"Mexico","2012","Mil. USD","0",""
"Mexico","2011","Metric tons","0",""
"Mexico","2011","Mil. USD","0",""
"Mexico","2010","Metric tons","0",""
"Mexico","2010","Mil. USD","0",""
"Mexico","2009","Metric tons","0",""
"Mexico","2009","Mil. USD","0",""
"Mexico","2008","Metric tons","0",""
"Mexico","2008","Mil. USD","0",""
"Mexico","2007","Metric tons","0",""
"Mexico","2007","Mil. USD","0",""
"Mexico","2006","Metric tons","0",""
"Mexico","2006","Mil. USD","0",""
"Mexico","2005","Metric tons","0",""
"Mexico","2005","Mil. USD","0",""
"Mexico","2004","Metric tons","0",""
"Mexico","2004","Mil. USD","0",""
"Mexico","2003","Metric tons","0",""
"Mexico","2003","Mil. USD","0",""
"Mexico","2002","Metric tons","0",""
"Mexico","2002","Mil. USD","0",""
"Mexico","2001","Metric tons","0",""
"Mexico","2001","Mil. USD","0",""
"Mexico","2000","Metric tons","0",""
"Mexico","2000","Mil. USD","0",""
"Mexico","1999","Metric tons","0",""
"Mexico","1999","Mil. USD","0",""
"Mexico","1997","Metric tons","0",""
"Mexico","1997","Mil. USD","0",""
"Mexico","1996","Metric tons","0",""
"Mexico","1996","Mil. USD","0",""
"Mexico","1995","Metric tons","0",""
"Mexico","1995","Mil. USD","0",""
"Mongolia","2016","Metric tons","12.7",""
"Mongolia","2016","Mil. USD","0.104603072304662",""
"Mongolia","2015","Metric tons","25.6",""
"Mongolia","2015","Mil. USD","0.323876836533035",""
"Mongolia","2014","Metric tons","35.9",""
"Mongolia","2014","Mil. USD","0.511559490926467",""
"Mongolia","2013","Metric tons","28.875",""
"Mongolia","2013","Mil. USD","0.553215687754175",""
"Mongolia","2012","Metric tons","11.6",""
"Mongolia","2012","Mil. USD","0.304245505509925",""
"Mongolia","2011","Metric tons","10",""
"Mongolia","2011","Mil. USD","0.295935601545889",""
"Mongolia","2010","Metric tons","90.2",""
"Mongolia","2010","Mil. USD","6.98189167267994",""
"Mongolia","2009","Metric tons","56.4",""
"Mongolia","2009","Mil. USD","4.28062178544229",""
"Mongolia","2008","Metric tons","28.1",""
"Mongolia","2008","Mil. USD","2.47928432805681",""
"Mongolia","2007","Metric tons","32.8",""
"Mongolia","2007","Mil. USD","1.42489457671553",""
"Mongolia","2006","Metric tons","38.5",""
"Mongolia","2006","Mil. USD","0.933229870044549",""
"Montenegro","2016","Metric tons","0","3"
"Montenegro","2016","Mil. USD","0","3"
"Montenegro","2007","Metric tons","2",""
"Montenegro","2006","Metric tons","6",""
"Montenegro","2005","Metric tons","0",""
"Montenegro","2004","Metric tons","0",""
"Montenegro","2003","Metric tons","6",""
"Montenegro","2002","Metric tons","40",""
"Nepal","2011","Metric tons","48.8",""
"Nepal","2011","Mil. USD","0.160632964220333",""
"Netherlands","2016","Metric tons","0","3"
"Netherlands","2016","Mil. USD","0","3"
"New Zealand","2005","Metric tons","21727",""
"New Zealand","2004","Metric tons","22078",""
"New Zealand","2002","Metric tons","20334",""
"New Zealand","2001","Metric tons","16924",""
"New Zealand","2000","Metric tons","17503",""
"New Zealand","1999","Metric tons","17268",""
"New Zealand","1997","Metric tons","15639",""
"New Zealand","1996","Metric tons","16074",""
"New Zealand","1995","Metric tons","16550",""
"Norway","2006","Metric tons","930",""
"Norway","2006","Mil. USD","22.2972972972973",""
"Norway","2005","Metric tons","1097",""
"Norway","2005","Mil. USD","22.9724485836244",""
"Norway","2004","Metric tons","884",""
"Norway","2004","Mil. USD","19.9335888243293",""
"Norway","2003","Metric tons","859",""
"Norway","2003","Mil. USD","18.2771242876277",""
"Norway","2002","Metric tons","929",""
"Norway","2002","Mil. USD","18.966582512003",""
"Pakistan","2015","Metric tons","1670",""
"Pakistan","2014","Metric tons","1127",""
"Pakistan","2013","Metric tons","898",""
"Pakistan","2012","Metric tons","982",""
"Pakistan","2011","Metric tons","1228",""
"Pakistan","2010","Metric tons","1801",""
"Pakistan","2009","Metric tons","2254",""
"Pakistan","2008","Metric tons","2779",""
"Pakistan","2007","Metric tons","2535",""
"Pakistan","2006","Metric tons","2362",""
"Peru","2006","Metric tons","1060.637",""
"Peru","2005","Metric tons","945.7",""
"Peru","2004","Metric tons","1113.9",""
"Peru","2003","Metric tons","918.3",""
"Peru","2002","Metric tons","1004.9",""
"Peru","2001","Metric tons","655.5",""
"Peru","2000","Metric tons","568.7",""
"Peru","1999","Metric tons","318.7",""
"Peru","1998","Metric tons","412.8",""
"Peru","1997","Metric tons","93.1",""
"Peru","1996","Metric tons","146.4",""
"Peru","1995","Metric tons","408.6",""
"Poland","2016","Metric tons","5591.042","3"
"Poland","2016","Mil. USD","83.3955574601187",""
"Poland","2006","Metric tons","11436","5"
"Poland","2006","Mil. USD","75.5037206716814",""
"Poland","2005","Metric tons","12553","5"
"Poland","2005","Mil. USD","91.4546512885762",""
"Poland","2004","Metric tons","13175","5"
"Poland","2004","Mil. USD","107.254902407517",""
"Poland","2003","Metric tons","19654","5"
"Poland","2003","Mil. USD","92.9012682964458",""
"Poland","2002","Metric tons","8983","5"
"Poland","2002","Mil. USD","78.8964142449817",""
"Poland","2001","Metric tons","10318","5"
"Poland","2001","Mil. USD","73.3286108600601",""
"Poland","2000","Metric tons","9534","5"
"Poland","2000","Mil. USD","73.6756728772513",""
"Portugal","2016","Metric tons","3545.268",""
"Portugal","2016","Mil. USD","24.269226184317",""
"Portugal","2015","Metric tons","3907.896",""
"Portugal","2015","Mil. USD","29.2980473918918",""
"Portugal","2014","Metric tons","3557.1302",""
"Portugal","2014","Mil. USD","29.7563584699611",""
"Portugal","2013","Metric tons","3738.67197",""
"Portugal","2013","Mil. USD","28.8221859585588",""
"Portugal","2012","Metric tons","2871.881",""
"Portugal","2012","Mil. USD","22.4966218193261",""
"Portugal","2011","Metric tons","3442.671",""
"Portugal","2011","Mil. USD","25.3030844194579",""
"Portugal","2010","Metric tons","2961.8",""
"Portugal","2010","Mil. USD","19.1280041829807",""
"Portugal","2009","Metric tons","2331.746",""
"Portugal","2009","Mil. USD","15.5772542006077",""
"Portugal","2008","Metric tons","3239.484",""
"Portugal","2008","Mil. USD","24.756150655274",""
"Portugal","2007","Metric tons","3466.919",""
"Portugal","2007","Mil. USD","25.3615712306034",""
"Portugal","2006","Metric tons","3812.387",""
"Portugal","2006","Mil. USD","23.0449893316635",""
"Portugal","2005","Metric tons","4799.698",""
"Portugal","2005","Mil. USD","38.6571059045914",""
"Portugal","2004","Metric tons","3097",""
"Portugal","2004","Mil. USD","34.7668448467465",""
"Portugal","2003","Metric tons","3096",""
"Portugal","2003","Mil. USD","31.9580599318499",""
"Portugal","2002","Metric tons","4589",""
"Portugal","2002","Mil. USD","34.0659133438216",""
"Portugal","2001","Metric tons","4234",""
"Portugal","2001","Mil. USD","28.7721523744754",""
"Portugal","2000","Metric tons","3660",""
"Portugal","2000","Mil. USD","27.8699131887529",""
"Portugal","1999","Metric tons","3735",""
"Portugal","1999","Mil. USD","32.4109311366334",""
"Portugal","1998","Metric tons","3871",""
"Portugal","1998","Mil. USD","35.0718082203952",""
"Portugal","1997","Metric tons","4967",""
"Portugal","1997","Mil. USD","47.2891400700618",""
"Portugal","1996","Metric tons","3248",""
"Portugal","1996","Mil. USD","38.4479382818723",""
"Portugal","1995","Metric tons","2874",""
"Portugal","1995","Mil. USD","31.7316925549327",""
"Republic of Moldova","2016","Metric tons","443.8",""
"Republic of Moldova","2015","Metric tons","514.2",""
"Republic of Moldova","2010","Metric tons","927.9",""
"Republic of Moldova","2009","Metric tons","1093.6",""
"Republic of Moldova","2008","Metric tons","1670.6",""
"Republic of Moldova","2007","Metric tons","1681.5",""
"Republic of Moldova","2006","Metric tons","1394.3",""
"Republic of Moldova","2005","Metric tons","1121.1",""
"Republic of Moldova","2004","Metric tons","918.9",""
"Romania","2008","Metric tons","8738",""
"Romania","2008","Mil. USD","80.0533310395253",""
"Romania","2007","Metric tons","8006",""
"Romania","2007","Mil. USD","60.356813288219",""
"Romania","2006","Metric tons","6731",""
"Romania","2006","Mil. USD","42.6980105494871",""
"Romania","2005","Metric tons","8115",""
"Romania","2005","Mil. USD","57.3771106021026",""
"Romania","2004","Metric tons","7613",""
"Romania","2004","Mil. USD","47.8208978364301",""
"Romania","2003","Metric tons","8804",""
"Romania","2003","Mil. USD","53.9902462557498",""
"Romania","2002","Metric tons","4769",""
"Romania","2002","Mil. USD","15.4192518445532",""
"Russian Federation","2016","Metric tons","5118",""
"Russian Federation","2015","Metric tons","5039",""
"Russian Federation","2014","Metric tons","4323",""
"Russian Federation","2013","Metric tons","7729",""
"Russian Federation","2012","Metric tons","8562",""
"Russian Federation","2011","Metric tons","7914",""
"Russian Federation","2010","Metric tons","9650",""
"Russian Federation","2009","Metric tons","9232",""
"Russian Federation","2008","Metric tons","12440",""
"Russian Federation","2007","Metric tons","16256",""
"Russian Federation","2006","Metric tons","16904",""
"Russian Federation","2005","Metric tons","17265",""
"Russian Federation","2004","Metric tons","21560",""
"Russian Federation","2003","Metric tons","23945",""
"Russian Federation","2002","Metric tons","24164",""
"Russian Federation","2001","Metric tons","30167",""
"Russian Federation","2000","Metric tons","31076",""
"Russian Federation","1999","Metric tons","29231",""
"Russian Federation","1998","Metric tons","23470",""
"Russian Federation","1997","Metric tons","27675",""
"Russian Federation","1996","Metric tons","29366",""
"Russian Federation","1995","Metric tons","43989",""
"Serbia","2016","Metric tons","0","3"
"Serbia","2016","Mil. USD","0","3"
"Serbia","2010","Metric tons","33",""
"Serbia","2009","Metric tons","265",""
"Serbia","2008","Metric tons","212",""
"Serbia","2007","Metric tons","300",""
"Serbia","2006","Metric tons","477",""
"Slovenia","2003","Metric tons","0",""
"Slovenia","2003","Mil. USD","0",""
"Slovenia","2002","Metric tons","0",""
"Slovenia","2002","Mil. USD","0",""
"Slovenia","2000","Metric tons","69",""
"Slovenia","2000","Mil. USD","0.632851868713238",""
"Slovenia","1999","Metric tons","247",""
"Slovenia","1999","Mil. USD","1.68356515418326",""
"Slovenia","1998","Metric tons","91",""
"Slovenia","1997","Metric tons","36",""
"Slovenia","1996","Metric tons","39",""
"Slovenia","1995","Metric tons","79",""
"Spain","2015","Metric tons","3538",""
"Spain","2015","Mil. USD","23.2904023417226",""
"Spain","2014","Metric tons","3139",""
"Spain","2014","Mil. USD","25.207941068748",""
"Spain","2013","Metric tons","2981",""
"Spain","2013","Mil. USD","25.2270707893992",""
"Spain","2010","Metric tons","3592",""
"Spain","2010","Mil. USD","27.8129135817105",""
"Spain","2004","Metric tons","11177",""
"Spain","2004","Mil. USD","48.4252481793969",""
"Sweden","2016","Metric tons","0",""
"Sweden","2016","Mil. USD","0",""
"Sweden","2015","Metric tons","0",""
"Sweden","2015","Mil. USD","0",""
"Sweden","2014","Metric tons","0",""
"Sweden","2014","Mil. USD","0",""
"Sweden","2013","Metric tons","0",""
"Sweden","2013","Mil. USD","0",""
"Sweden","2012","Metric tons","0",""
"Sweden","2012","Mil. USD","0",""
"Sweden","2011","Metric tons","0",""
"Sweden","2011","Mil. USD","0",""
"Sweden","2010","Metric tons","0",""
"Sweden","2010","Mil. USD","0",""
"Sweden","2009","Metric tons","0",""
"Sweden","2009","Mil. USD","0",""
"Sweden","2008","Metric tons","0",""
"Sweden","2008","Mil. USD","0",""
"Sweden","2007","Metric tons","0",""
"Sweden","2007","Mil. USD","0",""
"Sweden","2006","Metric tons","0",""
"Sweden","2006","Mil. USD","0",""
"Sweden","2005","Metric tons","0",""
"Sweden","2005","Mil. USD","0",""
"Syrian Arab Republic","2008","Metric tons","3472",""
"Syrian Arab Republic","2007","Metric tons","3354",""
"Syrian Arab Republic","2006","Metric tons","3521",""
"Syrian Arab Republic","2005","Metric tons","3478",""
"Syrian Arab Republic","2004","Metric tons","3261",""
"Syrian Arab Republic","2003","Metric tons","2353",""
"Syrian Arab Republic","2002","Metric tons","2675",""
"Syrian Arab Republic","2001","Metric tons","2744",""
"Syrian Arab Republic","2000","Metric tons","2364",""
"Syrian Arab Republic","1999","Metric tons","1745",""
"Syrian Arab Republic","1998","Metric tons","805",""
"Tajikistan","2012","Metric tons","15",""
"Tajikistan","2011","Metric tons","126",""
"Tajikistan","2010","Metric tons","101",""
"Tajikistan","2009","Metric tons","73.9",""
"Tajikistan","2008","Metric tons","100",""
"Tajikistan","2007","Metric tons","343",""
"Tajikistan","2006","Metric tons","377",""
"Tajikistan","2005","Metric tons","470",""
"Tajikistan","2004","Metric tons","500",""
"Tajikistan","2003","Metric tons","588",""
"Tajikistan","2002","Metric tons","688",""
"Tajikistan","2001","Metric tons","593",""
"Tajikistan","2000","Metric tons","515",""
"Tajikistan","1999","Metric tons","794",""
"Tajikistan","1998","Metric tons","1060",""
"Tajikistan","1997","Metric tons","806",""
"Tajikistan","1996","Metric tons","334",""
"Tajikistan","1995","Metric tons","625",""
"The former Yugoslav Republic of Macedonia","2016","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2016","Mil. USD","0","3"
"The former Yugoslav Republic of Macedonia","2015","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2014","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2013","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2012","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2011","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2010","Metric tons","0",""
"The former Yugoslav Republic of Macedonia","2009","Metric tons","158",""
"The former Yugoslav Republic of Macedonia","2008","Metric tons","143",""
"The former Yugoslav Republic of Macedonia","2007","Metric tons","170",""
"The former Yugoslav Republic of Macedonia","2006","Metric tons","135",""
"The former Yugoslav Republic of Macedonia","2005","Metric tons","158",""
"The former Yugoslav Republic of Macedonia","2004","Metric tons","138",""
"The former Yugoslav Republic of Macedonia","2003","Metric tons","192",""
"The former Yugoslav Republic of Macedonia","2002","Metric tons","272",""
"The former Yugoslav Republic of Macedonia","2001","Metric tons","395",""
"Turkey","2016","Metric tons","68049",""
"Turkey","2016","Mil. USD","302.304392413156",""
"Turkey","2015","Metric tons","69795.044",""
"Turkey","2015","Mil. USD","315.954891741428",""
"Turkey","2014","Metric tons","260946.68",""
"Turkey","2014","Mil. USD","911.748378093351",""
"Turkey","2013","Metric tons","94867.531",""
"Turkey","2013","Mil. USD","463.764433360056",""
"Turkey","2012","Metric tons","75870.821",""
"Turkey","2012","Mil. USD","357.906267989243",""
"Turkey","2011","Metric tons","70945.691",""
"Turkey","2011","Mil. USD","424.763298189734",""
"Turkey","2010","Metric tons","75776.314",""
"Turkey","2010","Mil. USD","447.959986121201",""
"Turkey","2009","Metric tons","53078",""
"Turkey","2009","Mil. USD","268.910204344498",""
"Turkey","2008","Metric tons","70167",""
"Turkey","2008","Mil. USD","382.321707676973",""
"Turkey","2007","Metric tons","64897",""
"Turkey","2007","Mil. USD","378.761450801569",""
"Turkey","2006","Metric tons","67039",""
"Turkey","2006","Mil. USD","313.835926193963",""
"Turkey","2005","Metric tons","78925","6"
"Turkey","2005","Mil. USD","290.789603990073",""
"Turkey","2003","Metric tons","37100",""
"Turkey","2002","Metric tons","36700",""
"Turkey","2001","Metric tons","34500",""
"Turkey","2000","Metric tons","37100",""
"Turkey","1999","Metric tons","38800",""
"Turkey","1998","Metric tons","55100",""
"Turkey","1997","Metric tons","64900",""
"Turkey","1996","Metric tons","55700",""
"Turkey","1995","Metric tons","52200","7"
"Turkmenistan","2002","Metric tons","500","7"
"Turkmenistan","2001","Metric tons","400","7"
"Turkmenistan","2000","Metric tons","500","7"
"Turkmenistan","1999","Metric tons","500","7"
"Turkmenistan","1998","Metric tons","700","7"
"Turkmenistan","1997","Metric tons","500","7"
"Turkmenistan","1996","Metric tons","300","7"
"Turkmenistan","1995","Metric tons","2000","7"
"Ukraine","2016","Metric tons","2252",""
"Ukraine","2015","Metric tons","2646",""
"Ukraine","2014","Metric tons","2456",""
"Ukraine","2013","Metric tons","1936",""
"Ukraine","2012","Metric tons","1812",""
"Ukraine","2011","Metric tons","1650",""
"Ukraine","2010","Metric tons","1322",""
"Ukraine","2009","Metric tons","549",""
"Ukraine","2008","Metric tons","993",""
"Ukraine","2007","Metric tons","920",""
"Ukraine","2006","Metric tons","969",""
"Ukraine","2005","Metric tons","1069",""
"Ukraine","2004","Metric tons","871",""
"Ukraine","2003","Metric tons","794",""
"United Kingdom","2016","Mil. USD","148.429495714096","3"
"United Kingdom","2014","Metric tons","15566",""
"United Kingdom","2012","Metric tons","17866.709",""
"United Kingdom","2012","Mil. USD","180.233067627702",""
"United Kingdom","2010","Metric tons","17012.746",""
"United Kingdom","2010","Mil. USD","156.220992980687",""
"United Kingdom","2009","Metric tons","22119.246",""
"United Kingdom","2009","Mil. USD","172.334756551032",""
"United Kingdom","2008","Metric tons","31595.187",""
"United Kingdom","2008","Mil. USD","276.909573583488",""
"United Kingdom","2007","Metric tons","33674.061",""
"United States of America","2010","Metric tons","6149","8"
"United States of America","2009","Metric tons","5480","8"
"United States of America","2008","Metric tons","8583","8"
"United States of America","2007","Metric tons","8506","8"
"United States of America","2006","Metric tons","8446","9"
"United States of America","2005","Metric tons","10714","9"
"United States of America","2004","Metric tons","15672","9"
"United States of America","2003","Metric tons","13788","9"
"United States of America","2002","Metric tons","18848","9"
"United States of America","2001","Metric tons","25732","9"
"United States of America","2000","Metric tons","28706","9"
"United States of America","1999","Metric tons","35524","9"
"United States of America","1998","Metric tons","42160","9"
"United States of America","1997","Metric tons","49313","9"
"United States of America","1996","Metric tons","51397","9"
"United States of America","1995","Metric tons","58279","9"
"Uruguay","2013","Mil. USD","1.18643026506893",""
"Uruguay","2012","Mil. USD","1.09991959687437",""
"Uruguay","2010","Mil. USD","1.33703735553753",""
"Uruguay","2003","Mil. USD","1.28538343642413",""
"Uruguay","2001","Mil. USD","2.15755029542749",""
"Uruguay","2000","Mil. USD","1.79368115246313",""
"Uruguay","1999","Mil. USD","2.3558404601695",""
"Uruguay","1998","Mil. USD","4.93553735387503",""
"Uruguay","1997","Mil. USD","7.58897469223845",""
"Uzbekistan","2016","Metric tons","14.7",""
"Uzbekistan","2016","Mil. USD","0.0383499349429806",""
"Viet Nam","2010","Metric tons","3536",""
"Viet Nam","2009","Metric tons","5905",""
"Viet Nam","2008","Metric tons","6011",""
"Viet Nam","2007","Metric tons","4828",""
"Viet Nam","2006","Metric tons","2421",""
"Viet Nam","2005","Metric tons","2983",""
"Viet Nam","2004","Metric tons","4456",""
"Viet Nam","2003","Metric tons","2846",""
"Viet Nam","2002","Metric tons","1818",""
"Viet Nam","2001","Metric tons","2013",""
"Viet Nam","2000","Metric tons","2683",""
"Viet Nam","1999","Metric tons","3406",""
"Viet Nam","1998","Metric tons","2243",""
"Viet Nam","1997","Metric tons","1696",""
"Viet Nam","1996","Metric tons","1585",""
"Viet Nam","1995","Metric tons","1160",""

"fnSeqID","Footnote"
"1","Twelve months ending 30 June of year stated."
"2","Includes yarn of 20% wool or less."
"3","Calculated by the Statistics Division of the United Nations, based on Prodcom data."
"4","Excluding Prodcom 2002 Z codes."
"5","Data calculated from components (no aggregations)."
"6","Break in series; data prior to the sign not comparable to following years."
"7","Source: Statistical Yearbook for Asia and the Pacific, United Nations Economic and Social Commission for Asia and the Pacific (Bangkok)."
"8","Spun yarn only. Additionally, man-made spun yarn includes yarn of silk and other natural fibres of HS 2007 codes 5004-5006. Data excludes finishing only."
"9","Spun yarn only. Additionally, man-made spun yarn includes yarn of silk and other natural fibres of HS 2002 codes 5004-5006. Data excludes finishing only."
